City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,punta del este,-34.9667,-54.95,288.69,94,95,3.13,UY,1722470862
167,kuandian,40.7286,124.7847,296.56,99,100,1.83,CN,1722470862
168,colonia,50.9333,6.95,293.05,88,0,1.03,DE,1722470862
169,fort st. john,56.2499,-120.8529,294.41,43,79,8.09,CA,1722470862
170,kuanda,56.3161,116.0806,291.99,55,85,1.82,RU,1722470863
171,susanville,40.4163,-120.653,307.49,19,0,1.79,US,1722470863
172,bredasdorp,-34.5322,20.0403,279.49,81,0,2.17,ZA,1722470863
173,tura,25.5198,90.2201,297.51,97,69,2.33,IN,1722470863
174,navolato,24.7672,-107.6944,306.25,55,67,5.03,MX,1722470864
175,ponsacco,43.6238,10.6291,300.0,91,9,0.83,IT,1722470864
176,luau,-10.7073,22.2247,291.68,26,0,2.19,AO,1722470864
177,rodna,47.4167,24.8167,287.73,55,19,1.61,RO,1722470864
178,muisne,0.6,-80.0333,297.16,84,93,4.32,EC,1722470865
179,jinjiang,24.8198,118.5741,301.73,82,16,2.89,CN,1722470865
180,utrik,11.2278,169.8474,301.36,80,44,6.08,MH,1722470865
181,cabo san lucas,22.8909,-109.9124,303.01,63,40,5.14,MX,1722470736
182,aykhal,66.0,111.5,282.73,56,52,2.94,RU,1722470866
183,shaydon,40.6747,70.346,298.34,31,1,2.0,TJ,1722470866
184,onguday,50.75,86.15,287.93,90,0,0.6,RU,1722470866
185,nagqu,31.5,92.0,276.15,62,58,1.37,CN,1722470866
186,lihue,21.9789,-159.3672,301.92,64,0,5.66,US,1722470867
187,ancud,-41.8697,-73.8203,282.79,91,100,7.71,CL,1722470867
188,bor,56.3567,44.0669,289.11,96,100,3.19,RU,1722470867
189,gornozavodsk,58.3758,58.3211,284.57,99,66,1.4,RU,1722470867
190,la passe,45.5549,-0.8967,295.28,96,0,3.51,FR,1722470868
191,sandakan,5.8402,118.1179,299.43,82,50,1.38,MY,1722470868
192,broken hill,-31.95,141.4333,284.2,40,0,4.19,AU,1722470868
193,villa regina,-39.1,-67.0667,286.48,37,99,4.64,AR,1722470869
194,tual,-5.6667,132.75,298.45,88,57,8.76,ID,1722470869
195,mount pearl,47.5166,-52.7813,293.4,92,63,1.79,CA,1722470768
196,teluk nibung,3.001,99.8164,297.19,95,100,1.81,ID,1722470869
197,kolwezi,-10.7148,25.4667,289.21,25,0,3.18,CD,1722470870
198,patu,-6.11,-37.6367,299.22,45,1,7.53,BR,1722470870
199,haiku-pauwela,20.9219,-156.3051,300.51,69,40,9.77,US,1722470870
200,kirakira,-10.4544,161.9205,299.96,82,100,4.11,SB,1722470870
201,vila velha,-20.3297,-40.2925,293.12,97,100,2.06,BR,1722470871
202,christchurch,-43.5333,172.6333,280.32,83,75,4.63,NZ,1722470867
203,jindabyne,-36.4167,148.6333,275.69,83,48,0.89,AU,1722470871
204,saipan,15.1355,145.701,304.54,70,20,6.17,MP,1722470872
205,kromy,52.6876,35.7667,286.22,88,26,4.62,RU,1722470872
206,dubbo,-32.25,148.6167,281.22,71,0,4.63,AU,1722470328
207,kapuskasing,49.4169,-82.4331,299.24,58,21,2.16,CA,1722470872
208,macapa,0.0389,-51.0664,299.86,80,33,6.22,BR,1722470872
209,tayu,-6.5397,111.0518,298.45,84,12,3.87,ID,1722470873
210,kenai,60.5544,-151.2583,294.83,37,0,4.12,US,1722470873
211,palikir - national government center,6.9248,158.1611,303.62,74,75,2.57,FM,1722470873
212,preobrazheniye,42.9019,133.9064,297.45,86,96,1.74,RU,1722470873
213,aoulef,26.9667,1.0833,307.63,10,0,9.54,DZ,1722470874
214,new norfolk,-42.7826,147.0587,281.44,76,33,1.03,AU,1722470874
215,bowling green,36.9903,-86.4436,306.11,65,0,0.0,US,1722470835
216,zag,46.9441,99.165,286.51,76,96,2.31,MN,1722470874
217,extrema,-22.8547,-46.3183,289.35,73,51,1.72,BR,1722470875
218,nadym,65.5333,72.5167,291.19,76,50,2.31,RU,1722470875
219,saint-pierre,-21.3393,55.4781,292.97,49,0,3.6,RE,1722470875
220,tabou,4.423,-7.3528,296.92,87,100,5.22,CI,1722470876
221,ballina,-28.8667,153.5667,289.14,63,34,5.84,AU,1722470876
222,holdrege,40.4403,-99.3698,299.96,69,0,1.54,US,1722470876
223,i-n-salah,27.1935,2.4607,306.55,12,0,9.22,DZ,1722470876
224,fale old settlement,-9.3852,-171.2468,300.33,69,98,9.0,TK,1722470877
225,tinaquillo,9.9186,-68.3047,302.19,98,28,0.3,VE,1722470877
226,carnarvon,-24.8667,113.6333,292.8,75,0,4.8,AU,1722470877
227,harstad,68.799,16.5293,288.49,81,67,0.85,NO,1722470877
228,imperatriz,-5.5264,-47.4917,300.18,32,0,1.91,BR,1722470878
229,yerofey pavlovich,53.9667,121.9667,290.65,40,0,2.8,RU,1722470878
230,afaahiti,-17.75,-149.2833,297.08,67,43,7.86,PF,1722470878
231,manakara,-22.1333,48.0167,290.08,94,5,2.48,MG,1722470878
232,byron bay,-28.65,153.6167,289.1,59,46,5.55,AU,1722470879
233,geraldton,-28.7667,114.6,288.38,55,40,6.17,AU,1722470879
234,bologoye,57.8799,34.1068,286.38,99,100,1.24,RU,1722470879
235,anadyr,64.75,177.4833,285.43,100,100,3.58,RU,1722470879
236,fort stockton,30.894,-102.8793,300.18,57,20,4.12,US,1722470877
237,niafunke,15.9322,-3.9906,306.17,44,100,6.19,ML,1722470880
238,livramento do brumado,-13.6431,-41.8406,293.46,61,18,1.43,BR,1722470880
239,dzuunmod,48.2199,97.3744,283.33,93,100,1.83,MN,1722470880
240,shatura,55.5725,39.5368,286.12,99,18,2.93,RU,1722470881
241,zhosaly,45.4878,64.0781,300.78,22,0,3.93,KZ,1722470881
242,maffra,-37.9667,146.9833,281.5,73,2,1.49,AU,1722470881
243,uturoa,-16.7333,-151.4333,296.72,58,35,7.73,PF,1722470881
244,gizo,-8.103,156.8419,300.48,79,81,5.08,SB,1722470882
245,crane,31.3974,-102.3501,309.73,25,0,10.03,US,1722470882
246,acarau,-2.8856,-40.12,298.88,83,9,8.32,BR,1722470882
247,shancheng,34.7953,116.0817,300.18,90,100,4.94,CN,1722470883
248,caleta de carquin,-11.0925,-77.6267,290.74,84,5,4.0,PE,1722470883
249,juneau,58.3019,-134.4197,285.6,94,100,5.14,US,1722470883
250,mairang,25.5667,91.6333,291.2,97,100,2.19,IN,1722470883
251,marquette,46.5333,-87.6335,299.35,69,15,0.89,US,1722470884
252,pont rouge,48.8833,-72.0825,292.34,98,100,1.5,CA,1722470884
253,celestun,20.8667,-90.4,301.66,76,2,8.33,MX,1722470884
254,happy valley-goose bay,53.3168,-60.3315,284.94,93,56,2.16,CA,1722470884
255,fisterra,42.9049,-9.2629,292.6,94,100,3.99,ES,1722470885
256,jamestown,42.097,-79.2353,297.95,83,0,2.57,US,1722470885
257,catio,11.2833,-15.25,297.78,90,26,2.97,GW,1722470885
258,guayaramerin,-10.8368,-65.3614,299.91,40,9,0.07,BO,1722470885
259,smithers,54.7804,-127.1743,294.33,43,75,1.54,CA,1722470886
260,graham,47.0529,-122.2943,301.04,54,0,2.06,US,1722470886
261,selfoss,63.9331,-20.9971,284.92,91,100,3.21,IS,1722470886
262,zaozersk,69.4005,32.4476,282.95,90,88,8.32,RU,1722470886
263,lethem,3.3803,-59.7968,299.18,73,90,2.94,GY,1722470887
264,puerto escondido,15.85,-97.0667,301.6,78,79,1.79,MX,1722470887
265,grand baie,-20.0182,57.5802,291.73,81,1,0.45,MU,1722470887
266,kudahuvadhoo,2.6708,72.8944,301.52,74,99,2.36,MV,1722470888
267,jakobstad,63.6749,22.7026,288.73,92,97,1.34,FI,1722470888
268,kalaleh,37.3807,55.4916,297.76,79,62,1.18,IR,1722470888
269,degerfors,59.238,14.4308,286.31,79,22,1.84,SE,1722470888
270,cam ranh,11.9214,109.1591,301.13,78,0,2.06,VN,1722470889
271,nenjiang,49.1833,125.2167,293.3,73,90,7.78,CN,1722470889
272,yuzhno-kurilsk,44.0306,145.8556,290.63,85,20,3.07,RU,1722470889
273,college,64.8569,-147.8028,290.14,58,75,2.57,US,1722470889
274,nejo,9.5,35.5,286.91,99,100,1.0,ET,1722470890
275,dan sadau,11.2962,6.4952,295.58,93,100,2.15,NG,1722470890
276,ierapetra,35.01,25.7353,299.9,55,0,4.92,GR,1722470890
277,xuanzhou,30.9525,118.7553,304.91,66,0,2.51,CN,1722470890
278,kargasok,59.0556,80.8572,288.52,89,21,1.49,RU,1722470891
279,sinop,41.7711,34.8709,287.56,91,10,1.43,TR,1722470891
280,polonne,50.1242,27.5109,287.75,66,49,3.39,UA,1722470891
281,vadso,70.0744,29.7487,286.24,82,75,8.75,NO,1722470891
282,babu,24.4167,111.5167,299.05,93,91,1.68,CN,1722470892
283,tataouine,32.9297,10.4518,300.89,40,0,0.38,TN,1722470892
284,ampanihy,-24.7,44.75,287.1,83,0,1.78,MG,1722470892
285,hilo,19.7297,-155.09,301.0,72,0,4.12,US,1722470757
286,tolanaro,-25.0319,46.9987,289.6,78,0,2.36,MG,1722470892
287,cockburn town,21.4612,-71.1419,301.65,85,0,8.7,TC,1722470893
288,strezhevoy,60.7333,77.5889,287.59,91,28,1.73,RU,1722470893
289,birjand,32.8663,59.2211,299.21,23,0,3.37,IR,1722470893
290,bumba,2.1833,22.4667,294.8,89,99,1.39,CD,1722470894
291,arvayheer,46.2639,102.775,286.98,95,100,3.23,MN,1722470894
292,brezina,33.0989,1.2608,303.24,20,0,2.01,DZ,1722470894
293,marang,5.2056,103.2059,298.81,89,100,2.74,MY,1722470895
294,remire-montjoly,4.9167,-52.2667,299.17,94,0,1.03,GF,1722470895
295,chunskiy,56.0815,99.6342,290.32,97,99,2.05,RU,1722470895
296,belmonte,-15.8631,-38.8828,295.4,81,0,2.59,BR,1722470895
297,sur,22.5667,59.5289,303.15,66,98,2.79,OM,1722470896
298,lautoka,-17.6167,177.4667,300.07,61,20,5.14,FJ,1722470896
299,sisimiut,66.9395,-53.6735,281.35,69,28,4.59,GL,1722470896
300,vorgashor,67.5833,63.95,288.6,95,98,1.7,RU,1722470896
301,peniche,39.3558,-9.3811,293.87,88,92,6.79,PT,1722470897
302,kamianske,48.5113,34.6021,289.94,58,0,2.73,UA,1722470897
303,grand falls-windsor,48.9332,-55.6649,294.54,91,31,5.8,CA,1722470897
304,khandyga,62.6667,135.6,282.15,79,100,2.13,RU,1722470898
305,westport,41.1415,-73.3579,301.34,77,0,5.14,US,1722470839
306,asaita,11.5636,41.4394,305.72,47,43,0.98,ET,1722470898
307,toliara,-23.35,43.6667,289.87,74,0,4.53,MG,1722470899
308,butembo,0.15,29.2833,287.58,93,81,0.95,CD,1722470899
309,gadzhiyevo,69.2551,33.3362,282.82,92,100,8.2,RU,1722470899
310,flying fish cove,-10.4217,105.6791,297.97,83,75,4.63,CX,1722470899
311,kalmunai,7.4167,81.8167,300.62,74,100,1.24,LK,1722470900
312,sarangani,5.4033,125.4636,301.44,74,53,1.7,PH,1722470900
313,puerto armuelles,8.2833,-82.8667,300.91,95,100,2.57,PA,1722470900
